RecordId,Time,Provider,Level,EventId,Message
54,6/23/2025 1:45:47 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {02805582-B6A6-43E7-9E1D-3606137C7389}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
55,6/23/2025 1:45:48 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {435710B9-9DB9-4CF0-8A81-B9C2A1CA67D6}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
56,6/23/2025 1:45:48 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {9BED9194-17D8-46A1-BEA6-9EBDA5D50498}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
57,6/23/2025 1:45:48 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {82C22D39-7234-455E-9BB3-74641C4B02A0}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
58,6/23/2025 1:45:48 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {58F388BB-2091-4C1F-825D-AD50972F334C}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
59,6/23/2025 1:45:48 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {7B1F81D4-AF0B-4A20-8D27-4295A78F9744}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7724; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
61,6/23/2025 1:48:55 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 2284; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\wmi : Select * from NvWmiBrightness; ResultCode = 0x8004100C; PossibleCause = Unknown
62,6/23/2025 1:48:55 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {00000000-0000-0000-0000-000000000000}; ClientMachine = DESKTOP-CJNBGDQ; User = NT AUTHORITY\SYSTEM; ClientProcessId = 2284; Component = Unknown; Operation = Start IWbemServices::ExecQuery - root\wmi : Select * from NvWmiBrightness; ResultCode = 0x8004100C; PossibleCause = Unknown
64,6/23/2025 1:49:04 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {E08D41A3-AF4E-4627-948B-9359A69ECC16}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7528; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
65,6/23/2025 1:49:04 PM,Microsoft-Windows-WMI-Activity,2,5858,Id = {D16CD9E7-0BF0-4A53-8F08-07FC2CFF2A22}; ClientMachine = DESKTOP-CJNBGDQ; User = DESKTOP-CJNBGDQ\Administrator; ClientProcessId = 7528; Component = Provider; Operation = Start IWbemServices::ExecMethod - Root\Microsoft\Windows\TaskScheduler : PS_ScheduledTask::DisableByObject; ResultCode = 0x80041001; PossibleCause = Unknown
