x86 Windows 10 and							
File name	File version	File size	Date	Time	Platform	SP requirement	Service branch
Acpi.sys	Not applicable	5,796	8-Oct-20	7:14	Not applicable	None	Not applicable
Basicrender.sys	Not applicable	318	8-Oct-20	7:14	Not applicable	None	Not applicable
Basicrender.sys	Not applicable	330	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthenum.sys	Not applicable	331	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthmini.sys	Not applicable	274	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthport.sys	Not applicable	1,939	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthusb.sys	Not applicable	296	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthenum.sys	Not applicable	327	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthmini.sys	Not applicable	271	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthport.sys	Not applicable	1,819	8-Oct-20	7:14	Not applicable	None	Not applicable
Bthusb.sys	Not applicable	291	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft.bluetooth.legacy.leenumerator.sys	Not applicable	450	8-Oct-20	7:14	Not applicable	None	Not applicable
Microsoft.bluetooth.legacy.leenumerator.sys	Not applicable	448	8-Oct-20	7:14	Not applicable	None	Not applicable
Amdk8.sys	Not applicable	2,976	8-Oct-20	7:14	Not applicable	None	Not applicable
Amdppm.sys	Not applicable	2,914	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelppm.sys	Not applicable	2,938	8-Oct-20	7:14	Not applicable	None	Not applicable
Processr.sys	Not applicable	2,948	8-Oct-20	7:14	Not applicable	None	Not applicable
Viac7.sys	Not applicable	512	8-Oct-20	7:14	Not applicable	None	Not applicable
Amdk8.sys	Not applicable	3,135	8-Oct-20	7:14	Not applicable	None	Not applicable
Amdppm.sys	Not applicable	2,903	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelppm.sys	Not applicable	3,108	8-Oct-20	7:14	Not applicable	None	Not applicable
Processr.sys	Not applicable	3,091	8-Oct-20	7:14	Not applicable	None	Not applicable
Viac7.sys	Not applicable	499	8-Oct-20	7:14	Not applicable	None	Not applicable
Hdaudio.sys	Not applicable	1,501	8-Oct-20	7:14	Not applicable	None	Not applicable
Hdaudio.sys	Not applicable	1,497	8-Oct-20	7:14	Not applicable	None	Not applicable
Hidbth.sys	Not applicable	400	8-Oct-20	7:14	Not applicable	None	Not applicable
Hidbth.sys	Not applicable	379	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelpep.sys	Not applicable	12,000	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelpep.sys	Not applicable	7,178	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelta.sys	Not applicable	2,587	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelta.sys	Not applicable	2,505	8-Oct-20	7:14	Not applicable	None	Not applicable
Csamsp.dll	Not applicable	2,205	8-Oct-20	7:14	Not applicable	None	Not applicable
Modemcsa.sys	Not applicable	185	8-Oct-20	7:14	Not applicable	None	Not applicable
Csamsp.dll	Not applicable	1,793	8-Oct-20	7:14	Not applicable	None	Not applicable
Modemcsa.sys	Not applicable	180	8-Oct-20	7:14	Not applicable	None	Not applicable
Monitor.sys	Not applicable	845	8-Oct-20	7:14	Not applicable	None	Not applicable
Monitor.sys	Not applicable	850	8-Oct-20	7:14	Not applicable	None	Not applicable
Atapi.sys	Not applicable	2,441	8-Oct-20	7:14	Not applicable	None	Not applicable
Ataport.sys	Not applicable	2,735	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelide.sys	Not applicable	2,501	8-Oct-20	7:14	Not applicable	None	Not applicable
Pciide.sys	Not applicable	2,554	8-Oct-20	7:14	Not applicable	None	Not applicable
Pciidex.sys	Not applicable	2,845	8-Oct-20	7:14	Not applicable	None	Not applicable
Storahci.sys	Not applicable	3,041	8-Oct-20	7:14	Not applicable	None	Not applicable
Atapi.sys	Not applicable	2,439	8-Oct-20	7:14	Not applicable	None	Not applicable
Ataport.sys	Not applicable	2,722	8-Oct-20	7:14	Not applicable	None	Not applicable
Intelide.sys	Not applicable	2,484	8-Oct-20	7:14	Not applicable	None	Not applicable
Pciide.sys	Not applicable	2,538	8-Oct-20	7:14	Not applicable	None	Not applicable
Pciidex.sys	Not applicable	3,014	8-Oct-20	7:14	Not applicable	None	Not applicable
Storahci.sys	Not applicable	2,981	8-Oct-20	7:14	Not applicable	None	Not applicable
Rndismp6.sys	Not applicable	4,112	8-Oct-20	7:14	Not applicable	None	Not applicable
Usb80236.sys	Not applicable	252	8-Oct-20	7:14	Not applicable	None	Not applicable
Rndismp6.sys	Not applicable	3,673	8-Oct-20	7:14	Not applicable	None	Not applicable
Usb80236.sys	Not applicable	248	8-Oct-20	7:14	Not applicable	None	Not applicable
Cxwmbclass.sys	Not applicable	809	8-Oct-20	7:14	Not applicable	None	Not applicable
Cxwmbclass.sys	Not applicable	772	8-Oct-20	7:14	Not applicable	None	Not applicable
Locale.gpd	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Msxpsinc.gpd	Not applicable	48	8-Oct-20	7:14	Not applicable	None	Not applicable
Msxpsinc.ppd	Not applicable	48	8-Oct-20	7:14	Not applicable	None	Not applicable
Mxdwdrv.dll	Not applicable	541	8-Oct-20	7:14	Not applicable	None	Not applicable
P6disp.gpd	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
P6font.gpd	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Pcl4res.dll	Not applicable	115	8-Oct-20	7:14	Not applicable	None	Not applicable
Pcl5eres.dll	Not applicable	116	8-Oct-20	7:14	Not applicable	None	Not applicable
Pcl5ures.dll	Not applicable	116	8-Oct-20	7:14	Not applicable	None	Not applicable
Pclxl.dll	Not applicable	115	8-Oct-20	7:14	Not applicable	None	Not applicable
Pclxl.gpd	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Pjl.gpd	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Pjlmon.dll	Not applicable	178	8-Oct-20	7:14	Not applicable	None	Not applicable
Ps5ui.dll	Not applicable	4,641	8-Oct-20	7:14	Not applicable	None	Not applicable
Pscript.hlp	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Pscript.ntf	Not applicable	54	8-Oct-20	7:14	Not applicable	None	Not applicable
Pscript5.dll	Not applicable	1,722	8-Oct-20	7:14	Not applicable	None	Not applicable
Pscrptfe.ntf	Not applicable	54	8-Oct-20	7:14	Not applicable	None	Not applicable
Ps_schm.gdl	Not applicable	51	8-Oct-20	7:14	Not applicable	None	Not applicable
Stddtype.gdl	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Stdnames.gpd	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Stdschem.gdl	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Stdschmx.gdl	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Ttfsub.gpd	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Unidrv.dll	Not applicable	5,791	8-Oct-20	7:14	Not applicable	None	Not applicable
Unidrv.hlp	Not applicable	52	8-Oct-20	7:14	Not applicable	None	Not applicable
Unidrvui.dll	Not applicable	4,180	8-Oct-20	7:14	Not applicable	None	Not applicable
Unires.dll	Not applicable	1,175	8-Oct-20	7:14	Not applicable	None	Not applicable
Mxdwdrv.dll	Not applicable	537	8-Oct-20	7:14	Not applicable	None	Not applicable
Pjlmon.dll	Not applicable	173	8-Oct-20	7:14	Not applicable	None	Not applicable
Ps5ui.dll	Not applicable	4,431	8-Oct-20	7:14	Not applicable	None	Not applicable
Pscript5.dll	Not applicable	1,669	8-Oct-20	7:14	Not applicable	None	Not applicable
Unidrv.dll	Not applicable	5,630	8-Oct-20	7:14	Not applicable	None	Not applicable
Unidrvui.dll	Not applicable	4,060	8-Oct-20	7:14	Not applicable	None	Not applicable
Unires.dll	Not applicable	1,167	8-Oct-20	7:14	Not applicable	None	Not applicable
Pci.sys	Not applicable	12,287	8-Oct-20	7:14	Not applicable	None	Not applicable
Pci.sys	Not applicable	11,634	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsapi.dll	Not applicable	191	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsdrv.dll	Not applicable	179	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsres.dll	Not applicable	1,712	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxstiff.dll	Not applicable	189	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsui.dll	Not applicable	2,735	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxswzrd.dll	Not applicable	190	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsapi.dll	Not applicable	187	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsdrv.dll	Not applicable	175	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsres.dll	Not applicable	1,722	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxstiff.dll	Not applicable	185	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxsui.dll	Not applicable	2,525	8-Oct-20	7:14	Not applicable	None	Not applicable
Fxswzrd.dll	Not applicable	186	8-Oct-20	7:14	Not applicable	None	Not applicable
Printconfig.dll	Not applicable	33,492	8-Oct-20	7:14	Not applicable	None	Not applicable
Unishare-pipelineconfig.xml	Not applicable	48	8-Oct-20	7:14	Not applicable	None	Not applicable
Unishare.gpd	Not applicable	50	8-Oct-20	7:14	Not applicable	None	Not applicable
Printconfig.dll	Not applicable	32,993	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdpidd.dll	Not applicable	17,277	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdpidd.dll	Not applicable	6,370	8-Oct-20	7:14	Not applicable	None	Not applicable
Opencl.dll	Not applicable	134	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgkmd.sys	Not applicable	393	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgocl32.dll	Not applicable	185	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgogl32.dll	Not applicable	267	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgu1132.dll	Not applicable	186	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgumd32.dll	Not applicable	185	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgkmd.sys	Not applicable	389	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgocl32.dll	Not applicable	181	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgogl32.dll	Not applicable	263	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgu1132.dll	Not applicable	182	8-Oct-20	7:14	Not applicable	None	Not applicable
Rdvgumd32.dll	Not applicable	182	8-Oct-20	7:14	Not applicable	None	Not applicable
Dumpsd.sys	Not applicable	5,107	8-Oct-20	7:14	Not applicable	None	Not applicable
Sdbus.sys	Not applicable	7,360	8-Oct-20	7:14	Not applicable	None	Not applicable
Dumpsd.sys	Not applicable	4,640	8-Oct-20	7:14	Not applicable	None	Not applicable
Sdbus.sys	Not applicable	6,926	8-Oct-20	7:14	Not applicable	None	Not applicable
Spacedump.sys	Not applicable	4,010	8-Oct-20	7:14	Not applicable	SPA	X86_DUAL_SP
Spaceport.sys	Not applicable	3,769	8-Oct-20	7:14	Not applicable	SPA	X86_DUAL_SP
Spacedump.sys	Not applicable	4,063	8-Oct-20	7:14	Not applicable	SPA	X86_DUAL_SP
Spaceport.sys	Not applicable	3,611	8-Oct-20	7:14	Not applicable	SPA	X86_DUAL_SP
Scsiscan.sys	Not applicable	177	8-Oct-20	7:14	Not applicable	None	Not applicable
Serscan.sys	Not applicable	177	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbscan.sys	Not applicable	183	8-Oct-20	7:14	Not applicable	None	Not applicable
Wiafbdrv.dll	Not applicable	2,120	8-Oct-20	7:14	Not applicable	None	Not applicable
Wsdscan.sys	Not applicable	180	8-Oct-20	7:14	Not applicable	None	Not applicable
Scsiscan.sys	Not applicable	172	8-Oct-20	7:14	Not applicable	None	Not applicable
Serscan.sys	Not applicable	172	8-Oct-20	7:14	Not applicable	None	Not applicable
Usbscan.sys	Not applicable	178	8-Oct-20	7:14	Not applicable	None	Not applicable
Wiafbdrv.dll	Not applicable	14,430	8-Oct-20	7:14	Not applicable	None	Not applicable
Wsdscan.sys	Not applicable	175	8-Oct-20	7:14	Not applicable	None	Not applicable
Stornvme.sys	Not applicable	5,383	8-Oct-20	7:14	Not applicable	None	Not applicable
Stornvme.sys	Not applicable	5,210	8-Oct-20	7:14	Not applicable	None	Not applicable
Storufs.sys	Not applicable	5,610	8-Oct-20	7:14	Not applicable	None	Not applicable
Storufs.sys	Not applicable	4,552	8-Oct-20	7:14	Not applicable	None	Not applicable
